V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7,V.8,µA.8
-0.301055908203125,-0.0393390655517578,-0.301055908203125,-0.133275985717773,-0.301055908203125,-0.0193119049072266,-0.301055908203125,-0.252008438110352,-0.301055908203125,-0.0283718109130859,-0.301055908203125,-0.0493526458740234,-0.301055908203125,-0.0331401824951172,-0.301055908203125,-0.0364780426025391,-0.301055908203125,0.0
-0.301993370056152,-0.0398159027099609,-0.301993370056152,-0.131845474243164,-0.301993370056152,-0.0183582305908203,-0.301993370056152,-0.24867057800293,-0.301993370056152,-0.0293254852294922,-0.301993370056152,-0.0488758087158203,-0.301993370056152,-0.0317096710205078,-0.301993370056152,-0.0360012054443359,-0.301993370056152,-0.0010413217719555
-0.303009033203125,-0.0393390655517578,-0.303009033203125,-0.130414962768555,-0.303009033203125,-0.0174045562744141,-0.303009033203125,-0.247716903686523,-0.303009033203125,-0.0298023223876953,-0.303009033203125,-0.0479221343994141,-0.303009033203125,-0.0326633453369141,-0.303009033203125,-0.0360012054443359,-0.303009033203125,-0.0007974534622881
-0.304024696350098,-0.0379085540771484,-0.304024696350098,-0.130891799926758,-0.304024696350098,-0.0188350677490234,-0.304024696350098,-0.247716903686523,-0.304024696350098,-0.0298023223876953,-0.304024696350098,-0.0493526458740234,-0.304024696350098,-0.0321865081787109,-0.304024696350098,-0.0355243682861328,-0.304024696350098,0.0
-0.304962158203125,-0.0379085540771484,-0.304962158203125,-0.130891799926758,-0.304962158203125,-0.0188350677490234,-0.304962158203125,-0.247716903686523,-0.304962158203125,-0.0298023223876953,-0.304962158203125,-0.0483989715576172,-0.304962158203125,-0.0317096710205078,-0.304962158203125,-0.0360012054443359,-0.304962158203125,0.0
-0.305977821350098,-0.0380277633666992,-0.305977821350098,-0.130414962768555,-0.305977821350098,-0.0188350677490234,-0.305977821350098,-0.24724006652832,-0.305977821350098,-0.0302791595458984,-0.305977821350098,-0.0483989715576172,-0.305977821350098,-0.0321865081787109,-0.305977821350098,-0.0355243682861328,-0.305977821350098,-7.09998601928982e-05
-0.30699348449707,-0.0379383563995361,-0.30699348449707,-0.130414962768555,-0.30699348449707,-0.0183582305908203,-0.30699348449707,-0.246763229370117,-0.30699348449707,-0.0302791595458984,-0.30699348449707,-0.0469684600830078,-0.30699348449707,-0.0331401824951172,-0.30699348449707,-0.0350475311279297,-0.30699348449707,-4.38332386482748e-06
-0.307930946350098,-0.0379085540771484,-0.307930946350098,-0.130891799926758,-0.307930946350098,-0.0183582305908203,-0.307930946350098,-0.247716903686523,-0.307930946350098,-0.030517578125,-0.307930946350098,-0.0488758087158203,-0.307930946350098,-0.0321865081787109,-0.307930946350098,-0.0369548797607422,-0.307930946350098,0.0
-0.30894660949707,-0.0379085540771484,-0.30894660949707,-0.130891799926758,-0.30894660949707,-0.0183582305908203,-0.30894660949707,-0.246763229370117,-0.30894660949707,-0.0307559967041016,-0.30894660949707,-0.0474452972412109,-0.30894660949707,-0.0317096710205078,-0.30894660949707,-0.0374317169189453,-0.30894660949707,-1.65566476277371e-05
-0.309962272644043,-0.0379085540771484,-0.309962272644043,-0.131368637084961,-0.309962272644043,-0.0183582305908203,-0.309962272644043,-0.248193740844727,-0.309962272644043,-0.0307559967041016,-0.309962272644043,-0.0488758087158203,-0.309962272644043,-0.0321865081787109,-0.309962272644043,-0.0364780426025391,-0.309962272644043,-3.82963965724487e-05
