No troughs found in cleaned_100mV 100Hz_µA_1.csv
Lowest trough value in cleaned_100mV 100Hz_µA_2.csv: 0.4836378791166116
Lowest trough value in cleaned_100mV 100Hz_µA_3.csv: 0.3967794263938627
No troughs found in cleaned_100mV 100Hz_µA_4.csv
Lowest trough value in cleaned_100mV 100Hz_µA_5.csv: 0.1853168587053487
Lowest trough value in cleaned_100mV 100Hz_µA_6.csv: 0.6096553288653914
No troughs found in cleaned_100mV 100Hz_µA_7.csv
Lowest trough value in cleaned_100mV 100Hz_µA_8.csv: 0.7907143103412992
Lowest trough value in cleaned_100mV 200Hz_µA_1.csv: 2.5669560317424303
Lowest trough value in cleaned_100mV 200Hz_µA_2.csv: 0.7416140886413234
Lowest trough value in cleaned_100mV 200Hz_µA_3.csv: 0.5902273984238093
No troughs found in cleaned_100mV 200Hz_µA_4.csv
Lowest trough value in cleaned_100mV 200Hz_µA_5.csv: 0.29169931011048167
Lowest trough value in cleaned_100mV 200Hz_µA_6.csv: 0.7120109943090558
No troughs found in cleaned_100mV 200Hz_µA_7.csv
Lowest trough value in cleaned_100mV 200Hz_µA_8.csv: 1.0963625579587948
Lowest trough value in cleaned_100mV 20Hz_µA_1.csv: -1.756731163896942
No troughs found in cleaned_100mV 20Hz_µA_2.csv
No troughs found in cleaned_100mV 20Hz_µA_3.csv
No troughs found in cleaned_100mV 20Hz_µA_4.csv
No troughs found in cleaned_100mV 20Hz_µA_5.csv
No troughs found in cleaned_100mV 20Hz_µA_6.csv
Lowest trough value in cleaned_100mV 20Hz_µA_7.csv: -0.4085366973540405
No troughs found in cleaned_100mV 20Hz_µA_8.csv
Lowest trough value in cleaned_100mV 300Hz_µA_1.csv: 4.016838450433577
Lowest trough value in cleaned_100mV 300Hz_µA_2.csv: 0.9367436679666294
Lowest trough value in cleaned_100mV 300Hz_µA_3.csv: 0.7761712888775132
No troughs found in cleaned_100mV 300Hz_µA_4.csv
Lowest trough value in cleaned_100mV 300Hz_µA_5.csv: 0.417494691698689
Lowest trough value in cleaned_100mV 300Hz_µA_6.csv: 0.8731245303016495
No troughs found in cleaned_100mV 300Hz_µA_7.csv
Lowest trough value in cleaned_100mV 300Hz_µA_8.csv: 1.210550133331691
Lowest trough value in cleaned_100mV 40Hz_µA_1.csv: -2.4330581808911678
Lowest trough value in cleaned_100mV 40Hz_µA_2.csv: -0.004942723272290506
Lowest trough value in cleaned_100mV 40Hz_µA_3.csv: -0.0017368777855939904
No troughs found in cleaned_100mV 40Hz_µA_4.csv
No troughs found in cleaned_100mV 40Hz_µA_5.csv
No troughs found in cleaned_100mV 40Hz_µA_6.csv
No troughs found in cleaned_100mV 40Hz_µA_7.csv
No troughs found in cleaned_100mV 40Hz_µA_8.csv
No troughs found in cleaned_100mV 60Hz_µA_1.csv
Lowest trough value in cleaned_100mV 60Hz_µA_2.csv: 0.36445434745900807
Lowest trough value in cleaned_100mV 60Hz_µA_3.csv: 0.2985515481894171
No troughs found in cleaned_100mV 60Hz_µA_4.csv
No troughs found in cleaned_100mV 60Hz_µA_5.csv
Lowest trough value in cleaned_100mV 60Hz_µA_6.csv: 0.5214412554140306
No troughs found in cleaned_100mV 60Hz_µA_7.csv
Lowest trough value in cleaned_100mV 60Hz_µA_8.csv: 0.5617888987180755
No troughs found in cleaned_100mV 80Hz_µA_1.csv
Lowest trough value in cleaned_100mV 80Hz_µA_2.csv: 0.41693612811414726
Lowest trough value in cleaned_100mV 80Hz_µA_3.csv: 0.34474095045101616
No troughs found in cleaned_100mV 80Hz_µA_4.csv
Lowest trough value in cleaned_100mV 80Hz_µA_5.csv: 0.15668896481457706
Lowest trough value in cleaned_100mV 80Hz_µA_6.csv: 0.5644245615911934
No troughs found in cleaned_100mV 80Hz_µA_7.csv
Lowest trough value in cleaned_100mV 80Hz_µA_8.csv: 0.6930593456346128
Lowest trough value in cleaned_20mV 100Hz_µA_1.csv: 0.01867347481323517
Lowest trough value in cleaned_20mV 100Hz_µA_2.csv: 0.0913307209608697
Lowest trough value in cleaned_20mV 100Hz_µA_3.csv: 0.05160818338148676
Lowest trough value in cleaned_20mV 100Hz_µA_4.csv: 0.024765341804881602
Lowest trough value in cleaned_20mV 100Hz_µA_5.csv: 0.00744482928206483
Lowest trough value in cleaned_20mV 100Hz_µA_6.csv: -0.06812419794821922
Lowest trough value in cleaned_20mV 100Hz_µA_7.csv: -0.033129226516293825
Lowest trough value in cleaned_20mV 100Hz_µA_8.csv: -0.027619764458879065
