Sentence,mV,Hz,uA,Output,Concentration
Lowest trough value in cleaned_20mV 20Hz_µA_1.csv: -0.009536509113865152,20.0,20.0,1,-0.009536509113865152,0ng/mL
Lowest trough value in cleaned_20mV 20Hz_µA_2.csv: -0.009321067182933046,20.0,20.0,2,-0.009321067182933046,0ng/mL
Lowest trough value in cleaned_20mV 20Hz_µA_3.csv: -0.004533182917030698,20.0,20.0,3,-0.004533182917030698,0ng/mL
Lowest trough value in cleaned_20mV 20Hz_µA_5.csv: -0.003279933276759399,20.0,20.0,5,-0.003279933276759399,100ng/mL
Lowest trough value in cleaned_20mV 20Hz_µA_6.csv: -0.01604277740491826,20.0,20.0,6,-0.01604277740491826,100ng/mL
Lowest trough value in cleaned_20mV 20Hz_µA_7.csv: -0.007861734567552722,20.0,20.0,7,-0.007861734567552722,100ng/mL
Lowest trough value in cleaned_20mV 20Hz_µA_8.csv: -0.009802815902867218,20.0,20.0,8,-0.009802815902867218,100ng/mL
Lowest trough value in cleaned_20mV 20Hz_µA_9.csv: -0.008544550195517784,20.0,20.0,9,-0.008544550195517784,100ng/mL
Lowest trough value in cleaned_20mV 40Hz_µA_1.csv: -0.0313385825451232,20.0,40.0,1,-0.0313385825451232,0ng/mL
Lowest trough value in cleaned_20mV 40Hz_µA_2.csv: -0.019737734947345875,20.0,40.0,2,-0.019737734947345875,0ng/mL
Lowest trough value in cleaned_20mV 40Hz_µA_3.csv: -0.010692742354766673,20.0,40.0,3,-0.010692742354766673,0ng/mL
Lowest trough value in cleaned_20mV 40Hz_µA_5.csv: -0.0036480039427947974,20.0,40.0,5,-0.0036480039427947974,100ng/mL
Lowest trough value in cleaned_20mV 40Hz_µA_6.csv: -0.03090403226752629,20.0,40.0,6,-0.03090403226752629,100ng/mL
Lowest trough value in cleaned_20mV 40Hz_µA_7.csv: -0.022740755216305905,20.0,40.0,7,-0.022740755216305905,100ng/mL
Lowest trough value in cleaned_20mV 60Hz_µA_1.csv: 0.03583559501055983,20.0,60.0,1,0.03583559501055983,0ng/mL
Lowest trough value in cleaned_20mV 60Hz_µA_2.csv: 0.06273891699291045,20.0,60.0,2,0.06273891699291045,0ng/mL
Lowest trough value in cleaned_20mV 60Hz_µA_3.csv: 0.016237644981651936,20.0,60.0,3,0.016237644981651936,0ng/mL
Lowest trough value in cleaned_20mV 60Hz_µA_5.csv: 0.007826335682030838,20.0,60.0,5,0.007826335682030838,100ng/mL
Lowest trough value in cleaned_20mV 60Hz_µA_6.csv: -0.011024784907247454,20.0,60.0,6,-0.011024784907247454,100ng/mL
Lowest trough value in cleaned_20mV 60Hz_µA_7.csv: -0.0029796940510100345,20.0,60.0,7,-0.0029796940510100345,100ng/mL
Lowest trough value in cleaned_20mV 60Hz_µA_8.csv: -0.01327090738036904,20.0,60.0,8,-0.01327090738036904,100ng/mL
Lowest trough value in cleaned_20mV 80Hz_µA_1.csv: 0.019275422231692166,20.0,80.0,1,0.019275422231692166,0ng/mL
Lowest trough value in cleaned_20mV 80Hz_µA_2.csv: 0.07317995751447504,20.0,80.0,2,0.07317995751447504,0ng/mL
Lowest trough value in cleaned_20mV 80Hz_µA_3.csv: 0.04339752009050274,20.0,80.0,3,0.04339752009050274,0ng/mL
