V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-0.122308731079102,-0.0009765625,-0.413656234741211,-0.0009765625,-0.410318374633789,-0.0009765625,-0.453710556030273,-0.0009765625,-0.121831893920898,-0.0009765625,-0.266790390014648,-0.0009765625,-0.100374221801758,-0.0009765625,-0.123262405395508
-0.00191402435302734,-0.125646591186523,-0.0019140243530273,-0.405550003051758,-0.0019140243530273,-0.405550003051758,-0.0019140243530273,-0.446557998657227,-0.0019140243530273,-0.12516975402832,-0.0019140243530273,-0.263452529907227,-0.0019140243530273,-0.0956058502197266,-0.0019140243530273,-0.116109848022461
-0.0029296875,-0.123739242553711,-0.0029296875,-0.405073165893555,-0.0029296875,-0.402688980102539,-0.0029296875,-0.446557998657227,-0.0029296875,-0.126123428344727,-0.0029296875,-0.255823135375977,-0.0029296875,-0.0989437103271484,-0.0029296875,-0.119447708129883
-0.00394535064697266,-0.119924545288086,-0.0039453506469726,-0.397443771362305,-0.0039453506469726,-0.399351119995117,-0.0039453506469726,-0.44703483581543,-0.0039453506469726,-0.121831893920898,-0.0039453506469726,-0.25629997253418,-0.0039453506469726,-0.0965595245361328,-0.0039453506469726,-0.120401382446289
-0.0048828125,-0.121355056762695,-0.0048828125,-0.394582748413086,-0.0048828125,-0.398874282836914,-0.0048828125,-0.446557998657227,-0.0048828125,-0.121355056762695,-0.0048828125,-0.253677368164063,-0.0048828125,-0.0975131988525391,-0.0048828125,-0.121355056762695
-0.00589847564697266,-0.115156173706055,-0.0058984756469726,-0.389337539672852,-0.0058984756469726,-0.395536422729492,-0.0058984756469726,-0.443220138549805,-0.0058984756469726,-0.120401382446289,-0.0058984756469726,-0.251054763793945,-0.0058984756469726,-0.0975131988525391,-0.0058984756469726,-0.116109848022461
-0.00691413879394531,-0.122785568237305,-0.0069141387939453,-0.389337539672852,-0.0069141387939453,-0.39219856262207,-0.0069141387939453,-0.442743301391602,-0.0069141387939453,-0.122308731079102,-0.0069141387939453,-0.251531600952148,-0.0069141387939453,-0.0951290130615234,-0.0069141387939453,-0.118494033813477
-0.00792980194091797,-0.117063522338867,-0.0079298019409179,-0.385642051696777,-0.0079298019409179,-0.387430191040039,-0.0079298019409179,-0.442266464233398,-0.0079298019409179,-0.115156173706055,-0.0079298019409179,-0.251531600952148,-0.0079298019409179,-0.0946521759033203,-0.0079298019409179,-0.114679336547852
-0.00886726379394531,-0.109434127807617,-0.0088672637939453,-0.382184982299805,-0.0088672637939453,-0.387430191040039,-0.0088672637939453,-0.440359115600586,-0.0088672637939453,-0.11897087097168,-0.0088672637939453,-0.245332717895508,-0.0088672637939453,-0.0960826873779297,-0.0088672637939453,-0.114679336547852
-0.00988292694091797,-0.114202499389648,-0.0098829269409179,-0.381708145141602,-0.0098829269409179,-0.386476516723633,-0.0098829269409179,-0.438928604125977,-0.0098829269409179,-0.115156173706055,-0.0098829269409179,-0.242948532104492,-0.0098829269409179,-0.0963211059570313,-0.0098829269409179,-0.116109848022461
-0.0108985900878906,-0.114202499389648,-0.0108985900878906,-0.372648239135742,-0.0108985900878906,-0.38456916809082,-0.0108985900878906,-0.443220138549805,-0.0108985900878906,-0.11754035949707,-0.0108985900878906,-0.241994857788086,-0.0108985900878906,-0.0975131988525391,-0.0108985900878906,-0.115633010864258
-0.011836051940918,-0.113844871520996,-0.011836051940918,-0.371217727661133,-0.011836051940918,-0.382184982299805,-0.011836051940918,-0.43797492980957,-0.011836051940918,-0.116586685180664,-0.011836051940918,-0.237703323364258,-0.011836051940918,-0.0970363616943359,-0.011836051940918,-0.115752220153809
-0.0128517150878906,-0.113725662231445,-0.0128517150878906,-0.371217727661133,-0.0128517150878906,-0.380754470825195,-0.0128517150878906,-0.436067581176758,-0.0128517150878906,-0.116109848022461,-0.0128517150878906,-0.239133834838867,-0.0128517150878906,-0.0959634780883789,-0.0128517150878906,-0.116109848022461
